Distro,OriginCode,DPCI,RequestType,DistroStatus,SSZ,UnitSortable,TrayCode,TotalNumberofPallets,TotalNumberofFullVCPs,TotalNumberofLooseSSP,SSPsinVCP,PullMode,TotalNumberofStore,TotalNumberofSSPsintheDistro,VCPLength,VCPWidth,VCPHeight,AllocationRequestDate,AllocationRequestTime,WorkStation,Aisle,Total_locs,wave_id
000000000071642668,W,022-08-1921,BAS,N,13,Y,1,0,0,5,6,CA,5,5,13.6,13.3,3.3,2022-09-12T00:00:00,02:21:08 AM,SF22,31,1,W1
000000000071642667,W,022-08-1921,BAS,N,13,Y,1,0,1,2,6,CA,8,8,13.6,13.3,3.3,2022-09-12T00:00:00,02:21:08 AM,SF22,31,1,W1
000000000071639705,W,042-02-2138,BAS,N,13,Y,1,0,0,3,8,CA,2,3,24.0,16.0,5.0,2022-09-11T00:00:00,02:09:07 AM,SF03,106,1,W1
000000000071638897,W,025-02-0013,BAS,N,13,Y,1,0,0,7,12,CA,7,7,18.5,16.5,4.0,2022-09-11T00:00:00,02:09:10 AM,SF03,106,1,W1
000000000071638904,W,025-02-0164,BAS,N,13,Y,1,0,0,6,12,CA,6,6,18.5,16.5,4.0,2022-09-11T00:00:00,02:09:13 AM,SF03,106,1,W1
000000000071638998,W,025-04-0117,BAS,N,13,Y,1,0,0,2,9,CA,2,2,12.9,11.4,9.2,2022-09-11T00:00:00,02:08:48 AM,SF03,106,1,W1
000000000071642582,W,022-08-0473,BAS,N,13,Y,1,0,2,2,6,CA,13,14,19.9,12.8,2.8,2022-09-12T00:00:00,02:21:08 AM,SF03,106,1,W1
000000000071639005,W,025-04-0291,BAS,N,13,Y,1,0,0,3,8,CA,3,3,15.7,15.4,13.2,2022-09-11T00:00:00,02:08:48 AM,SF03,106,1,W1
000000000071639093,W,025-04-9424,BAS,N,13,Y,1,0,0,4,9,CA,4,4,15.5,13.6,13.3,2022-09-11T00:00:00,02:08:53 AM,SF03,106,1,W1
000000000071640477,W,214-07-1285,BAS,N,13,Y,1,0,0,3,12,CA,3,3,14.0,15.5,7.2,2022-09-11T00:00:00,02:09:13 AM,SF03,106,1,W1
000000000071639673,W,042-02-1949,BAS,N,13,Y,1,0,0,2,8,CA,1,2,24.0,16.0,5.0,2022-09-11T00:00:00,02:08:58 AM,SF03,106,1,W1
000000000071639721,W,042-02-3266,BAS,N,13,Y,1,0,0,3,8,CA,3,3,24.0,16.0,5.0,2022-09-11T00:00:00,02:09:05 AM,SF03,106,1,W1
000000000071638906,W,025-02-0166,BAS,N,13,Y,1,0,0,6,12,CA,6,6,18.5,16.5,4.0,2022-09-11T00:00:00,02:08:53 AM,SF03,106,1,W1
000000000071640481,W,214-07-1384,BAS,N,13,Y,1,0,0,2,12,CA,2,2,14.0,15.5,7.2,2022-09-11T00:00:00,02:09:05 AM,SF03,106,1,W1
000000000071638093,W,022-10-0053,BAS,N,13,Y,1,0,0,1,48,CA,1,1,17.3,16.1,14.5,2022-09-11T00:00:00,02:08:56 AM,SF03,106,1,W1
000000000071639699,W,042-02-2130,BAS,N,13,Y,1,0,0,1,8,CA,1,1,24.0,16.0,5.0,2022-09-11T00:00:00,02:08:58 AM,SF03,106,1,W1
000000000071639036,W,025-04-1197,BAS,N,13,Y,1,0,0,5,9,CA,5,5,15.8,13.1,12.7,2022-09-11T00:00:00,02:09:00 AM,SF03,106,1,W1
000000000071638937,W,025-03-0631,BAS,N,13,Y,1,0,0,24,36,CA,11,24,21.6,11.4,11.8,2022-09-11T00:00:00,02:08:36 AM,SF03,106,1,W1
000000000071639041,W,025-04-2237,BAS,N,13,Y,1,0,0,5,9,CA,5,5,15.0,10.0,10.1,2022-09-11T00:00:00,02:08:48 AM,SF03,106,1,W1
000000000071638901,W,025-02-0106,BAS,N,13,Y,1,0,0,3,12,CA,3,3,18.5,16.5,4.0,2022-09-11T00:00:00,02:08:48 AM,SF03,106,1,W1
000000000071639767,W,042-11-0946,BAS,N,13,Y,1,0,0,2,24,CA,2,2,15.0,23.0,10.0,2022-09-11T00:00:00,02:08:40 AM,SF03,106,1,W1
000000000071638158,W,022-12-0144,BAS,N,13,Y,1,0,0,2,96,CA,2,2,18.0,10.0,6.0,2022-09-11T00:00:00,02:09:10 AM,SF03,106,1,W1
000000000071639644,W,042-02-1105,BAS,N,13,Y,1,0,0,4,8,CA,3,4,24.0,16.0,5.0,2022-09-11T00:00:00,02:09:10 AM,SF03,106,1,W1
000000000071638896,W,025-02-0012,BAS,N,13,Y,1,0,0,6,12,CA,6,6,18.5,16.5,4.0,2022-09-11T00:00:00,02:09:10 AM,SF03,106,1,W1
000000000071639678,W,042-02-1958,BAS,N,13,Y,1,0,0,2,8,CA,2,2,24.0,16.0,5.0,2022-09-11T00:00:00,02:08:58 AM,SF03,106,1,W1
000000000071638172,W,022-12-0350,BAS,N,13,Y,1,0,0,1,96,CA,1,1,18.0,12.0,6.0,2022-09-11T00:00:00,02:08:44 AM,SF03,106,1,W1
000000000071639918,W,042-11-7930,BAS,N,13,Y,1,0,0,11,24,CA,6,11,15.0,23.0,10.0,2022-09-11T00:00:00,02:08:40 AM,SF03,106,1,W1
000000000071639086,W,025-04-8204,BAS,N,13,Y,1,0,0,1,9,CA,1,1,19.6,14.7,12.7,2022-09-11T00:00:00,02:08:48 AM,SF03,106,1,W1
000000000071639047,W,025-04-3207,BAS,N,13,Y,1,0,0,3,9,CA,2,3,15.4,10.8,10.5,2022-09-11T00:00:00,02:08:44 AM,SF03,106,1,W1
000000000071639635,W,042-02-0832,BAS,N,13,Y,1,0,0,4,8,CA,4,4,24.0,16.0,5.0,2022-09-11T00:00:00,02:08:51 AM,SF03,106,1,W1
000000000071638898,W,025-02-0103,BAS,N,13,Y,1,0,0,3,12,CA,3,3,18.5,16.5,4.0,2022-09-11T00:00:00,02:09:10 AM,SF03,106,1,W1
000000000071638895,W,025-02-0011,BAS,N,13,Y,1,0,0,6,12,CA,6,6,18.5,16.5,4.0,2022-09-11T00:00:00,02:08:39 AM,SF03,106,1,W1
000000000071640251,W,043-13-2462,BAS,N,13,Y,1,0,0,2,24,CA,1,2,13.0,11.7,9.2,2022-09-11T00:00:00,02:09:00 AM,SF03,106,1,W1
000000000071640049,W,042-21-6656,BAS,N,13,Y,1,0,0,4,24,CA,3,4,30.0,20.0,19.0,2022-09-11T00:00:00,02:09:00 AM,SF03,106,1,W1
000000000071639695,W,042-02-2125,BAS,N,13,Y,1,0,0,1,8,CA,1,1,24.0,16.0,5.0,2022-09-11T00:00:00,02:08:56 AM,SF03,106,1,W1
000000000071639258,W,025-10-1204,BAS,N,13,Y,1,0,0,2,24,CA,2,2,18.1,11.0,10.6,2022-09-11T00:00:00,02:08:39 AM,SF03,106,1,W1
000000000071637921,W,020-03-5966,BAS,N,13,Y,1,0,0,1,12,CA,1,1,22.0,11.4,7.4,2022-09-11T00:00:00,02:08:36 AM,SF03,106,1,W1
000000000071639038,W,025-04-1717,BAS,N,13,Y,1,0,0,1,9,CA,1,1,15.0,12.5,12.2,2022-09-11T00:00:00,02:09:00 AM,SF03,106,1,W1
000000000071638846,W,025-00-4627,BAS,N,13,Y,1,0,0,1,36,CA,1,1,21.3,20.5,9.0,2022-09-11T00:00:00,02:09:13 AM,SF03,106,1,W1
000000000071638173,W,022-12-0351,BAS,N,13,Y,1,0,0,2,96,CA,1,2,14.0,10.0,6.0,2022-09-11T00:00:00,02:08:44 AM,SF03,106,1,W1
000000000071638089,W,022-09-6972,BAS,N,13,Y,1,0,0,2,9,CA,2,2,22.6,14.1,10.6,2022-09-11T00:00:00,02:09:07 AM,SF03,106,1,W1
000000000071640482,W,214-07-1388,BAS,N,13,Y,1,0,0,2,12,CA,1,2,14.0,15.5,7.2,2022-09-11T00:00:00,02:09:05 AM,SF03,106,1,W1
000000000071639061,W,025-04-4465,BAS,N,13,Y,1,0,0,1,9,CA,1,1,15.0,12.5,12.2,2022-09-11T00:00:00,02:09:18 AM,SF03,106,1,W1
000000000071639024,W,025-04-0702,BAS,N,13,Y,1,0,0,7,9,CA,6,7,16.1,13.5,13.4,2022-09-11T00:00:00,02:09:10 AM,SF03,106,1,W1
000000000071638366,W,022-12-3777,BAS,N,13,Y,1,0,0,5,96,CA,2,5,15.0,9.0,6.0,2022-09-11T00:00:00,02:08:44 AM,SF03,106,1,W1
000000000071639661,W,042-02-1583,BAS,N,13,Y,1,0,0,1,8,CA,1,1,24.0,16.0,5.0,2022-09-11T00:00:00,02:09:00 AM,SF03,106,1,W1
000000000071638899,W,025-02-0104,BAS,N,13,Y,1,0,0,3,12,CA,3,3,18.5,16.5,4.0,2022-09-11T00:00:00,02:08:44 AM,SF03,106,1,W1
000000000071639766,W,042-11-0945,BAS,N,13,Y,1,0,0,9,24,CA,9,9,15.0,23.0,10.0,2022-09-11T00:00:00,02:08:40 AM,SF03,106,1,W1
000000000071640478,W,214-07-1287,BAS,N,13,Y,1,0,0,1,12,CA,1,1,14.0,15.5,7.2,2022-09-11T00:00:00,02:09:05 AM,SF03,106,1,W1
000000000071642585,W,022-08-0479,BAS,N,13,Y,1,0,0,5,6,CA,4,5,19.9,13.3,2.9,2022-09-12T00:00:00,02:21:08 AM,SF03,106,1,W1
000000000071639831,W,042-11-6627,BAS,N,13,Y,1,0,0,3,24,CA,3,3,15.0,23.0,10.0,2022-09-11T00:00:00,02:08:48 AM,SF03,106,1,W1
000000000071639098,W,025-04-9820,BAS,N,13,Y,1,0,0,3,9,CA,3,3,15.0,10.0,10.1,2022-09-11T00:00:00,02:08:53 AM,SF03,106,1,W1
000000000071649604,W,043-14-0501,BAS,N,13,Y,1,0,0,10,12,CA,10,10,12.5,11.4,6.2,2022-09-12T00:00:00,02:22:17 AM,SF03,106,1,W1
000000000071650506,W,043-18-6577,BAS,N,13,Y,1,0,0,2,6,CA,1,2,12.6,11.8,9.1,2022-09-12T00:00:00,02:22:26 AM,SF03,106,1,W1
000000000071644193,W,023-12-4864,BAS,N,13,Y,1,0,0,9,24,CA,9,9,23.6,13.3,9.8,2022-09-12T00:00:00,02:21:16 AM,SF03,106,1,W1
000000000071639818,W,042-11-5699,BAS,N,13,Y,1,0,0,4,24,CA,3,4,24.1,15.2,9.7,2022-09-11T00:00:00,02:08:51 AM,SF03,107,1,W1
000000000071640301,W,043-13-3357,BAS,N,13,Y,1,0,1,1,24,CA,13,25,13.0,12.0,11.6,2022-09-11T00:00:00,02:09:05 AM,SF03,107,1,W1
000000000071639974,W,042-21-0846,BAS,N,13,Y,1,0,0,5,24,CA,5,5,23.0,13.0,12.0,2022-09-11T00:00:00,02:09:07 AM,SF03,107,1,W1
000000000071639040,W,025-04-2184,BAS,N,13,Y,1,0,0,1,9,CA,1,1,15.0,15.0,12.5,2022-09-11T00:00:00,02:08:48 AM,SF03,107,1,W1
000000000071637990,W,022-09-1773,BAS,N,13,Y,1,0,0,6,12,CA,6,6,13.0,16.0,20.0,2022-09-11T00:00:00,02:08:39 AM,SF03,107,1,W1
000000000071640271,W,043-13-2498,BAS,N,13,Y,1,0,0,7,24,CA,6,7,12.5,11.7,11.4,2022-09-11T00:00:00,02:08:36 AM,SF03,107,1,W1
000000000071639973,W,042-21-0843,BAS,N,13,Y,1,0,0,10,24,CA,9,10,23.0,13.0,12.0,2022-09-11T00:00:00,02:09:10 AM,SF03,107,1,W1
000000000071637948,W,022-09-1058,BAS,N,13,Y,1,0,0,2,12,CA,2,2,13.0,16.0,20.0,2022-09-11T00:00:00,02:09:07 AM,SF03,107,1,W1
000000000071640300,W,043-13-3356,BAS,N,13,Y,1,0,0,14,24,CA,8,14,12.7,11.9,11.5,2022-09-11T00:00:00,02:09:10 AM,SF03,107,1,W1
000000000071639082,W,025-04-7520,BAS,N,13,Y,1,0,0,2,9,CA,2,2,15.0,10.0,10.1,2022-09-11T00:00:00,02:08:44 AM,SF03,107,1,W1
000000000071640432,W,098-05-1387,BAS,N,13,Y,1,0,1,3,6,CA,7,9,18.7,11.7,11.4,2022-09-11T00:00:00,02:08:36 AM,SF03,107,1,W1
000000000071639971,W,042-21-0839,BAS,N,13,Y,1,0,0,2,24,CA,2,2,23.0,13.0,12.0,2022-09-11T00:00:00,02:08:40 AM,SF03,107,1,W1
000000000071639034,W,025-04-0890,BAS,N,13,Y,1,0,1,4,9,CA,10,13,15.2,12.9,12.7,2022-09-11T00:00:00,02:08:53 AM,SF03,107,1,W1
000000000071639084,W,025-04-8060,BAS,N,13,Y,1,0,0,3,9,CA,3,3,15.5,11.4,11.2,2022-09-11T00:00:00,02:08:48 AM,SF03,107,1,W1
000000000071639009,W,025-04-0424,BAS,N,13,Y,1,0,0,4,9,CA,4,4,15.0,10.0,10.1,2022-09-11T00:00:00,02:09:00 AM,SF03,107,1,W1
000000000071639027,W,025-04-0709,BAS,N,13,Y,1,0,0,5,9,CA,3,5,16.2,15.5,11.9,2022-09-11T00:00:00,02:08:56 AM,SF03,107,1,W1
000000000071639048,W,025-04-3208,BAS,N,13,Y,1,0,0,6,9,CA,6,6,15.3,11.0,10.6,2022-09-11T00:00:00,02:08:58 AM,SF03,107,1,W1
000000000071639012,W,025-04-0561,BAS,N,13,Y,1,0,0,6,9,CA,6,6,13.2,10.6,9.0,2022-09-11T00:00:00,02:09:16 AM,SF03,107,1,W1
000000000071639067,W,025-04-5407,BAS,N,13,Y,1,0,0,1,9,CA,1,1,15.0,10.0,10.1,2022-09-11T00:00:00,02:09:13 AM,SF03,107,1,W1
000000000071639083,W,025-04-7663,BAS,N,13,Y,1,0,0,2,9,CA,2,2,16.4,13.4,12.8,2022-09-11T00:00:00,02:08:36 AM,SF03,107,1,W1
000000000071637991,W,022-09-1774,BAS,N,13,Y,1,0,0,5,12,CA,5,5,13.0,16.0,20.0,2022-09-11T00:00:00,02:08:39 AM,SF03,107,1,W1
000000000071639008,W,025-04-0422,BAS,N,13,Y,1,0,0,4,9,CA,4,4,15.0,12.5,12.2,2022-09-11T00:00:00,02:08:48 AM,SF03,107,1,W1
000000000071639096,W,025-04-9727,BAS,N,13,Y,1,0,0,2,9,CA,2,2,15.0,12.5,12.2,2022-09-11T00:00:00,02:08:53 AM,SF03,107,1,W1
000000000071639972,W,042-21-0840,BAS,N,13,Y,1,0,0,2,24,CA,2,2,23.0,13.0,12.0,2022-09-11T00:00:00,02:08:40 AM,SF03,107,1,W1
000000000071639045,W,025-04-3205,BAS,N,13,Y,1,0,0,3,9,CA,3,3,15.3,10.6,10.4,2022-09-11T00:00:00,02:08:48 AM,SF03,107,1,W1
000000000071639011,W,025-04-0560,BAS,N,13,Y,1,0,0,2,9,CA,2,2,12.5,10.9,9.3,2022-09-11T00:00:00,02:09:02 AM,SF03,107,1,W1
000000000071639607,W,041-02-9439,BAS,N,13,Y,1,0,0,1,12,CA,1,1,18.5,23.2,6.3,2022-09-11T00:00:00,02:08:36 AM,SF03,107,1,W1
000000000071638270,W,022-12-1709,BAS,N,13,Y,1,0,0,5,96,CA,3,5,18.2,12.2,9.5,2022-09-11T00:00:00,02:08:48 AM,SF03,107,1,W1
000000000071637804,W,020-02-2227,BAS,N,13,Y,1,0,2,4,12,CA,14,28,13.0,12.6,7.5,2022-09-11T00:00:00,02:09:02 AM,SF03,107,1,W1
000000000071639570,W,040-05-1275,BAS,N,13,Y,1,0,0,1,12,CA,1,1,23.5,15.2,9.1,2022-09-11T00:00:00,02:09:07 AM,SF03,107,1,W1
000000000071639064,W,025-04-5120,BAS,N,13,Y,1,0,0,4,9,CA,4,4,15.0,10.0,10.1,2022-09-11T00:00:00,02:09:18 AM,SF03,107,1,W1
000000000071639080,W,025-04-7369,BAS,N,13,Y,1,0,0,1,9,CA,1,1,15.0,12.5,12.2,2022-09-11T00:00:00,02:08:44 AM,SF03,107,1,W1
000000000071638458,W,022-12-4187,BAS,N,13,Y,1,0,0,2,96,CA,2,2,17.7,14.9,3.1,2022-09-11T00:00:00,02:08:48 AM,SF03,107,1,W1
000000000071637977,W,022-09-1557,BAS,N,13,Y,1,0,0,2,12,CA,2,2,13.0,16.0,20.0,2022-09-11T00:00:00,02:08:48 AM,SF03,107,1,W1
000000000071639786,W,042-11-2950,BAS,N,13,Y,1,0,0,1,24,CA,1,1,15.0,23.0,11.0,2022-09-11T00:00:00,02:09:13 AM,SF03,107,1,W1
000000000071638344,W,022-12-3674,BAS,N,13,Y,1,0,0,4,96,CA,2,4,16.0,9.0,6.0,2022-09-11T00:00:00,02:09:04 AM,SF03,107,1,W1
000000000071638396,W,022-12-3930,BAS,N,13,Y,1,0,0,8,96,CA,5,8,14.0,10.0,7.5,2022-09-11T00:00:00,02:08:48 AM,SF03,107,1,W1
000000000071637978,W,022-09-1558,BAS,N,13,Y,1,0,0,1,12,CA,1,1,13.0,16.0,20.0,2022-09-11T00:00:00,02:08:48 AM,SF03,107,1,W1
000000000071639095,W,025-04-9707,BAS,N,13,Y,1,0,0,2,9,CA,2,2,15.0,10.0,10.1,2022-09-11T00:00:00,02:08:53 AM,SF03,107,1,W1
000000000071640336,W,044-06-5123,BAS,N,13,Y,1,0,2,8,12,CA,16,32,15.7,9.0,7.0,2022-09-11T00:00:00,02:08:33 AM,SF03,107,1,W1
000000000071640466,W,098-05-5054,BAS,N,13,Y,1,0,0,1,6,CA,1,1,15.7,9.8,9.4,2022-09-11T00:00:00,02:08:36 AM,SF03,108,1,W1
000000000071640357,W,044-10-0896,BAS,N,13,Y,1,0,0,2,6,CA,2,2,12.0,9.0,4.0,2022-09-11T00:00:00,02:08:48 AM,SF03,108,1,W1
000000000071639280,W,025-10-1590,BAS,N,13,Y,1,0,0,1,48,CA,1,1,18.9,11.4,7.0,2022-09-11T00:00:00,02:08:39 AM,SF03,108,1,W1
000000000071638255,W,022-12-1473,BAS,N,13,Y,1,0,0,3,96,CA,3,3,15.8,13.4,6.3,2022-09-11T00:00:00,02:08:36 AM,SF03,108,1,W1
000000000071638242,W,022-12-1197,BAS,N,13,Y,1,0,0,3,96,CA,2,3,18.0,11.0,6.0,2022-09-11T00:00:00,02:08:36 AM,SF03,108,1,W1
000000000071638323,W,022-12-2864,BAS,N,13,Y,1,0,0,1,96,CA,1,1,16.0,10.0,5.5,2022-09-11T00:00:00,02:08:36 AM,SF03,108,1,W1
000000000071638531,W,022-12-4275,BAS,N,13,Y,1,0,0,5,96,CA,3,5,16.0,11.0,7.5,2022-09-11T00:00:00,02:08:36 AM,SF03,108,1,W1
000000000071637811,W,020-02-2754,BAS,N,13,Y,1,0,0,1,12,CA,1,1,12.9,12.6,10.6,2022-09-11T00:00:00,02:08:56 AM,SF03,108,1,W1
000000000071638325,W,022-12-2866,BAS,N,13,Y,1,0,0,2,96,CA,2,2,16.0,10.0,5.5,2022-09-11T00:00:00,02:09:02 AM,SF03,108,1,W1
000000000071638394,W,022-12-3911,BAS,N,13,Y,1,0,0,5,96,CA,5,5,18.0,12.0,9.0,2022-09-11T00:00:00,02:09:00 AM,SF03,108,1,W1
000000000071657671,W,214-05-2686,BAS,N,13,Y,1,0,6,10,12,CA,58,82,13.3,11.5,7.4,2022-09-12T00:00:00,02:23:58 AM,SF03,108,2,W1
000000000071657632,W,214-05-1519,BAS,N,13,Y,1,0,1,3,12,CA,15,15,12.9,12.5,7.0,2022-09-12T00:00:00,02:23:57 AM,SF03,108,1,W1
000000000071642809,W,022-08-4694,BAS,N,13,Y,1,0,1,1,6,CA,7,7,13.7,13.1,3.3,2022-09-12T00:00:00,02:21:09 AM,SF03,108,1,W1
000000000071649497,W,043-14-0333,BAS,N,13,Y,1,0,0,1,12,CA,1,1,22.4,12.9,7.8,2022-09-12T00:00:00,02:22:16 AM,SF03,108,1,W1
000000000071638374,W,022-12-3836,BAS,N,13,Y,1,0,0,3,96,CA,2,3,16.9,11.8,7.4,2022-09-11T00:00:00,02:08:58 AM,SF03,109,1,W1
000000000071639026,W,025-04-0708,BAS,N,13,Y,1,0,0,7,9,CA,7,7,16.0,16.0,13.3,2022-09-11T00:00:00,02:09:13 AM,SF03,109,1,W1
000000000071637898,W,020-03-5415,BAS,N,13,Y,1,0,0,9,12,CA,5,9,21.6,10.6,8.6,2022-09-11T00:00:00,02:09:07 AM,SF03,109,1,W1
000000000071638634,W,022-12-4414,BAS,N,13,Y,1,0,0,3,96,CA,2,3,17.0,10.0,6.0,2022-09-11T00:00:00,02:08:39 AM,SF03,109,1,W1
000000000071637839,W,020-02-4290,BAS,N,13,Y,1,0,0,4,12,CA,4,4,12.9,12.6,7.8,2022-09-11T00:00:00,02:09:07 AM,SF03,109,1,W1
000000000071639304,W,025-10-5189,BAS,N,13,Y,1,0,0,2,48,CA,2,2,18.5,13.7,9.8,2022-09-11T00:00:00,02:08:48 AM,SF03,109,1,W1
000000000071649416,W,043-14-0055,BAS,N,13,Y,1,0,6,0,12,CA,43,72,22.0,12.5,3.9,2022-09-12T00:00:00,02:22:14 AM,SF03,109,1,W1
000000000071649890,W,043-15-0794,BAS,N,13,Y,1,0,3,9,12,CA,37,45,20.5,12.4,9.5,2022-09-12T00:00:00,02:22:21 AM,SF03,109,2,W1
000000000071638241,W,022-12-1196,BAS,N,13,Y,1,0,0,7,96,CA,6,7,16.0,10.0,6.0,2022-09-11T00:00:00,02:08:33 AM,SF03,109,1,W1
000000000071649530,W,043-14-0465,BAS,N,13,Y,1,0,2,5,12,CA,28,29,22.4,12.9,6.6,2022-09-12T00:00:00,02:22:16 AM,SF03,109,1,W1
000000000071649506,W,043-14-0355,BAS,N,13,Y,1,0,2,5,12,CA,27,29,22.4,12.9,6.6,2022-09-12T00:00:00,02:22:16 AM,SF03,109,1,W1
000000000071657707,W,214-05-3040,BAS,N,13,Y,1,0,0,9,12,CA,9,9,14.9,13.7,6.6,2022-09-12T00:00:00,02:23:58 AM,SF03,109,1,W1
000000000071640338,W,044-06-8098,BAS,N,13,Y,1,0,0,2,6,CA,1,2,11.0,8.3,6.3,2022-09-11T00:00:00,02:08:33 AM,SF03,110,1,W1
000000000071640284,W,043-13-2688,BAS,N,13,Y,1,0,0,1,12,CA,1,1,21.2,12.5,5.5,2022-09-11T00:00:00,02:08:44 AM,SF03,110,1,W1
000000000071640266,W,043-13-2492,BAS,N,13,Y,1,0,0,2,24,CA,2,2,12.6,11.9,9.0,2022-09-11T00:00:00,02:08:44 AM,SF03,110,1,W1
000000000071639229,W,025-10-0500,BAS,N,13,Y,1,0,0,1,96,CA,1,1,19.9,12.6,10.4,2022-09-11T00:00:00,02:09:04 AM,SF03,110,1,W1
000000000071638445,W,022-12-4150,BAS,N,13,Y,1,0,0,4,96,CA,2,4,24.0,16.0,8.0,2022-09-11T00:00:00,02:08:48 AM,SF03,110,1,W1
000000000071639321,W,025-10-6704,BAS,N,13,Y,1,0,0,1,48,CA,1,1,23.6,19.6,7.0,2022-09-11T00:00:00,02:09:13 AM,SF03,110,1,W1
000000000071639232,W,025-10-0568,BAS,N,13,Y,1,0,0,2,48,CA,2,2,18.1,14.9,14.9,2022-09-11T00:00:00,02:09:04 AM,SF03,110,1,W1
000000000071639107,W,025-05-0081,BAS,N,13,Y,1,0,0,7,60,CA,7,7,14.5,9.8,11.0,2022-09-11T00:00:00,02:08:39 AM,SF03,110,1,W1
000000000071637924,W,020-18-0325,BAS,N,13,Y,1,0,1,0,3,CA,3,3,13.0,11.0,7.5,2022-09-11T00:00:00,02:08:48 AM,SF03,110,1,W1
000000000071640270,W,043-13-2497,BAS,N,13,Y,1,0,0,20,24,CA,10,20,12.6,11.7,9.2,2022-09-11T00:00:00,02:08:36 AM,SF03,110,1,W1
000000000071640252,W,043-13-2464,BAS,N,13,Y,1,0,0,4,24,CA,3,4,12.7,11.8,11.6,2022-09-11T00:00:00,02:09:00 AM,SF03,110,1,W1
000000000071638193,W,022-12-0491,BAS,N,13,Y,1,0,0,9,96,CA,3,9,16.9,10.2,5.5,2022-09-11T00:00:00,02:08:36 AM,SF03,110,1,W1
000000000071640262,W,043-13-2485,BAS,N,13,Y,1,0,0,5,24,CA,4,5,12.6,11.7,9.0,2022-09-11T00:00:00,02:08:44 AM,SF03,110,1,W1
000000000071659275,W,309-00-2712,BAS,N,13,Y,1,0,0,1,6,CA,1,1,17.7,12.9,2.7,2022-09-12T00:00:00,02:24:10 AM,SF03,110,1,W1
000000000071642350,W,020-06-4852,BAS,N,13,Y,1,0,0,2,6,CA,1,2,21.8,13.5,10.2,2022-09-12T00:00:00,02:21:06 AM,SF03,110,1,W1
000000000071657935,W,214-14-2967,BAS,N,13,Y,1,0,0,1,12,CA,1,1,23.0,14.0,13.0,2022-09-12T00:00:00,02:23:59 AM,SF03,110,1,W1
000000000071648910,W,041-06-1755,BAS,N,13,Y,1,0,0,5,12,CA,1,5,12.0,11.0,6.0,2022-09-12T00:00:00,02:22:12 AM,SF03,110,1,W1
000000000071642484,W,021-03-5478,BAS,N,13,Y,1,0,0,3,6,CA,1,3,13.3,11.6,4.3,2022-09-12T00:00:00,02:21:07 AM,SF03,110,1,W1
000000000071638287,W,022-12-1981,BAS,N,13,Y,1,0,0,1,96,CA,1,1,15.7,10.2,5.9,2022-09-11T00:00:00,02:08:58 AM,SF03,110,1,W1
000000000071637918,W,020-03-5963,BAS,N,13,Y,1,0,0,3,12,CA,3,3,22.0,10.2,6.3,2022-09-11T00:00:00,02:08:56 AM,SF03,110,1,W1
000000000071639579,W,041-02-1393,BAS,N,13,Y,1,0,0,1,12,CA,1,1,24.5,14.0,3.7,2022-09-11T00:00:00,02:09:10 AM,CR03,111,1,W1
000000000071640327,W,043-13-4542,BAS,N,13,Y,1,0,0,9,12,CA,5,9,12.5,11.4,6.2,2022-09-11T00:00:00,02:08:56 AM,CR03,111,1,W1
